repeated_time,Avg Macro F1,Recall_macro,Precision_macro
0,0.855069211,0.855069211,0.855069211
1,0.839577108,0.844277168,0.835365065
2,0.836700949,0.838907001,0.834847937
3,0.846484045,0.848138584,0.845094286
4,0.851363526,0.852165936,0.850787026
5,0.850435768,0.859076452,0.844884388
6,0.852302174,0.855360708,0.854017896
7,0.849490845,0.854617702,0.848981896
8,0.848608381,0.850408605,0.851911137
9,0.845723349,0.847869179,0.848199741
10,0.845648837,0.848559975,0.847056048
11,0.843919042,0.844884029,0.847611064
12,0.845078651,0.844636672,0.850133325
13,0.845614509,0.843839173,0.852043529
14,0.849051572,0.846937301,0.855536338
15,0.846803994,0.844313526,0.853451359
16,0.848159087,0.846761492,0.853606717
17,0.847798066,0.84545059,0.854252359
18,0.848120356,0.845670192,0.854473274
19,0.848756723,0.846671242,0.854562177
20,0.848486941,0.846405991,0.854113214
21,0.846771561,0.844370139,0.85260799
22,0.845543658,0.842702871,0.851782621
23,0.847466987,0.844333307,0.853894153
24,0.848002215,0.845187623,0.85398844
25,0.847485753,0.844514461,0.853535585
26,0.846409477,0.843449111,0.852337354
27,0.845102022,0.843247816,0.850097932
28,0.84513588,0.844629289,0.849025213
29,0.844564676,0.843629858,0.84884117
