Macro F1,recall,precision
0.468309859,0.5,0.440397351
0.504516538,0.522720674,0.577390456
0.489915787,0.512602586,0.529222273
0.506407429,0.521539852,0.547738301
0.525019842,0.533111147,0.604492011
0.51710131,0.527592622,0.579902283
0.552346334,0.555665117,0.615843886
0.558299146,0.558101914,0.641435679
0.560616211,0.55881685,0.640726431
0.572426931,0.565900851,0.662886665
0.576403278,0.567592042,0.677840691
0.567705336,0.561959372,0.658605622
0.568585905,0.562081699,0.661126675
0.566402945,0.560028244,0.681998579
0.570636213,0.562826925,0.68673597
0.563645285,0.558900242,0.670305038
0.560965274,0.556848368,0.671637272
0.561629942,0.557162347,0.685938205
0.557107021,0.554153803,0.673712109
0.556619776,0.553472011,0.670601216
0.551960804,0.550559424,0.659121644
0.550041688,0.54934352,0.671585812
0.546966412,0.547198149,0.662397946
0.543996747,0.54523156,0.653699798
0.545402986,0.545971748,0.657086052
0.541921089,0.544203604,0.647860379
0.541563118,0.543963828,0.651976995
0.547361634,0.548666814,0.655552756
0.544763922,0.546988648,0.648361967
0.54612859,0.547695087,0.657943595
